id,vrsta
332625,vrh
331973,planina
331973,sedlo
331973,cerkev
33578,koča
331970,vrh
333443,cerkev
333449,cerkev
333152,planina
331147,cerkev
33268,koča
33544,koča
33544,cerkev
33895,slap
331914,vrh
331914,cerkev
33716,slap
331230,vrh
331230,cerkev
331972,koča
331451,cerkev
332458,vrh
33850,vrh
33850,koča
33850,cerkev
331073,slap
333258,cerkev
331449,vrh
331449,cerkev
332795,vrh
331133,koča
332630,cerkev
333349,cerkev
33931,vrh
33931,cerkev
332493,vrh
332493,koča
332493,cerkev
332926,vrh
332361,cerkev
332411,vrh
332414,vrh
331438,koča
331438,jezero
331438,cerkev
332894,vrh
333512,vrh
33495,vrh
33886,vrh
33886,koča
33886,cerkev
333070,vrh
333511,vrh
333510,cerkev
333112,bivak
333362,vrh
333234,vrh
332762,cerkev
332163,vrh
332163,cerkev
333060,vrh
333060,cerkev
332874,vrh
332760,slap
332760,jezero
332328,jezero
333113,koča
331678,vrh
332451,koča
